Amount,Transaction Type,Category
1768.88,debit,Credit Card Payment
1568.26,credit,Paycheck
3.06,debit,Coffee Shops
7.79,debit,Coffee Shops
9.9,debit,Groceries
35.34,debit,Groceries
3.18,debit,Groceries
16.88,debit,Air Travel
11.24,debit,Groceries
1.93,debit,Coffee Shops
20,debit,Web hosting
98,debit,Doctor
1768.88,credit,Credit Card Payment
4.73,debit,Coffee Shops
1.93,debit,Coffee Shops
4.73,debit,Coffee Shops
391.96,debit,Air Travel
3.06,debit,Coffee Shops
0.01,credit,Income
3.06,debit,Coffee Shops
10.44,debit,Coffee Shops
63,credit,Income
5.05,debit,Groceries
3.06,debit,Coffee Shops
64.99,debit,Credit Card Payment
5.34,debit,Rental Car & Taxi
20.4,debit,Rental Car & Taxi
3.33,debit,Fast Food
30.82,debit,Groceries
4,debit,Groceries
12.14,debit,Fast Food
43.47,debit,Mobile Phone
14.15,debit,Rental Car & Taxi
8.41,debit,Groceries
10.75,debit,Fast Food
85.96,debit,Movies & DVDs
46.31,debit,Restaurants
7.56,debit,Rental Car & Taxi
64.99,credit,Credit Card Payment
3.75,debit,Public Transportation
7.39,debit,Rental Car & Taxi
18.94,debit,Rental Car & Taxi
13.19,debit,Rental Car & Taxi
62.66,debit,Rental Car & Taxi
26.52,debit,Rental Car & Taxi
12.08,debit,Groceries
8.27,debit,Rental Car & Taxi
8.99,debit,Groceries
2.38,debit,Parking
5.06,debit,Shopping
6.33,debit,Restaurants
8.5,debit,Restaurants
7.5,debit,Restaurants
10.73,debit,Electronics & Software
2.38,debit,Parking
124.3,debit,Utilities
8.5,debit,Restaurants
7,debit,Restaurants
4,debit,Groceries
850,debit,Rent
6.02,debit,Coffee Shops
5.32,debit,Gas & Fuel
1.99,debit,Coffee Shops
89,debit,Fees & Charges
1568.27,credit,Paycheck
0.08,credit,Dividend & Cap Gains
0.08,debit,Investments
3.11,debit,Gas & Fuel
6.03,debit,Coffee Shops
2.99,debit,Groceries
2.19,debit,Gas & Fuel
3.63,debit,Fast Food
3.06,debit,Coffee Shops
2.5,debit,Groceries
26.49,debit,Restaurants
17.51,debit,Restaurants
8.42,debit,Groceries
2.92,debit,Coffee Shops
31.76,debit,Utilities
11.1,debit,Restaurants
39.41,debit,Shopping
3.06,debit,Coffee Shops
10,debit,Pharmacy
2.63,debit,Coffee Shops
0.21,credit,Interest Income
4.13,debit,Coffee Shops
5.69,debit,Coffee Shops
72,debit,Hobbies
5.85,debit,Coffee Shops
12.58,debit,Groceries
3.06,debit,Coffee Shops
11.02,debit,Coffee Shops
4.73,debit,Coffee Shops
6.95,credit,Bank Fee
50,debit,529
6.95,debit,Bank Fee
14.57,debit,Coffee Shops
23.62,debit,Movies & DVDs
10.53,debit,Groceries
2.92,debit,Coffee Shops
3.06,debit,Coffee Shops
2.92,debit,Coffee Shops
20,debit,Doctor
50,credit,Investments
21.56,debit,Gas & Fuel
4.73,debit,Coffee Shops
3.06,debit,Coffee Shops
6.56,debit,Coffee Shops
2.92,debit,Coffee Shops
28.12,debit,Groceries
2.92,debit,Coffee Shops
63.06,debit,Shopping
958,credit,Income
2.92,debit,Coffee Shops
100,debit,Cash & ATM
13.03,debit,Groceries
29.81,debit,Restaurants
64.99,debit,Internet
34.95,debit,Amusement
3.31,debit,Gym
40.38,debit,Groceries
7.33,debit,Coffee Shops
2.92,debit,Coffee Shops
6.33,debit,Coffee Shops
50.73,debit,Hair
10,debit,Alcohol & Bars
2.92,debit,Coffee Shops
11,debit,Restaurants
9.96,debit,Fast Food
1568.26,credit,Paycheck
2,debit,Parking
2.92,debit,Coffee Shops
2.92,debit,Coffee Shops
20,debit,Doctor
3.06,debit,Coffee Shops
20,debit,Web hosting
2.92,debit,Coffee Shops
1849.58,debit,Credit Card Payment
1849.58,credit,Credit Card Payment
14.45,debit,Groceries
4.62,debit,Coffee Shops
3.06,debit,Coffee Shops
2.92,debit,Coffee Shops
44.18,debit,Groceries
120,credit,Income
32.54,debit,Home Improvement
19.05,debit,Groceries
6,debit,Coffee Shops
13.62,debit,Shopping
2.18,debit,Restaurants
7.33,debit,Coffee Shops
15.15,debit,Restaurants
2.92,debit,Coffee Shops
20,debit,Doctor
6.39,debit,Fast Food
10.79,debit,Restaurants
43.47,debit,Mobile Phone
3000,debit,Cryptocurrency
10.8,debit,Groceries
3.06,debit,Coffee Shops
6.33,debit,Coffee Shops
850,debit,Rent
64.99,debit,Credit Card Payment
0.04,credit,Income
0.15,credit,Income
5.88,debit,Coffee Shops
32.39,debit,Shopping
64.99,credit,Credit Card Payment
6.33,debit,Coffee Shops
16.88,debit,Groceries
225.8,debit,Air Travel
109.57,debit,Gym
34.86,debit,Air Travel
6.33,debit,Coffee Shops
15.02,debit,Groceries
10.92,debit,Coffee Shops
191.17,debit,Shopping
330,credit,Freelance
78.17,debit,Utilities
2.92,debit,Coffee Shops
9.97,debit,Groceries
2.92,debit,Coffee Shops
10.92,debit,Groceries
2.92,debit,Coffee Shops
7.49,debit,Entertainment
10,debit,Pharmacy
26.97,debit,Fast Food
20,debit,Doctor
2.92,debit,Coffee Shops
6.56,debit,Coffee Shops
1568.27,credit,Paycheck
0.07,credit,Dividend & Cap Gains
0.07,debit,Investments
15.22,debit,Restaurants
9.77,debit,Groceries
3.92,debit,Coffee Shops
5.49,debit,Business Services
30.6,debit,Utilities
10.04,debit,Groceries
2.92,debit,Coffee Shops
2.41,debit,Groceries
18.64,debit,Gas & Fuel
20,debit,Doctor
2.84,debit,Coffee Shops
49.98,debit,Groceries
15.18,debit,Restaurants
5.9,debit,Coffee Shops
30.73,debit,Restaurants
106.15,debit,Shopping
12,debit,Restaurants
7.52,debit,Coffee Shops
25.33,debit,Rental Car & Taxi
13.58,debit,Fast Food
9.11,debit,Alcohol & Bars
0.19,credit,Interest Income
50,debit,529
39.89,debit,Restaurants
3.45,debit,Coffee Shops
6.09,debit,Restaurants
1.5,debit,Parking
11.4,debit,Restaurants
2.9,debit,Restaurants
8.41,debit,Gas & Fuel
50,credit,Investments
22.06,debit,Rental Car & Taxi
5.12,debit,Restaurants
6.95,debit,Bank Fee
6.95,credit,Bank Fee
35.95,debit,Groceries
5.63,debit,Restaurants
8.64,debit,Restaurants
11.79,debit,Restaurants
53.21,debit,Investments
53.21,credit,Dividend & Cap Gains
33.12,debit,Personal Care
5.79,debit,Coffee Shops
7.08,debit,Coffee Shops
10.03,debit,Coffee Shops
16.51,debit,Groceries
2.63,debit,Coffee Shops
9.65,debit,Uncategorized
2.95,debit,Restaurants
3.7,debit,Coffee Shops
27.74,debit,Restaurants
5.85,debit,Coffee Shops
42.83,debit,Restaurants
6,debit,Coffee Shops
2.94,debit,Gas & Fuel
64.99,debit,Internet
7.79,debit,Coffee Shops
8.72,debit,Coffee Shops
3.06,debit,Coffee Shops
0.01,credit,Income
1568.26,credit,Paycheck
2.8,debit,Investments
2.8,credit,Dividend & Cap Gains
2.92,debit,Coffee Shops
8.72,debit,Coffee Shops
15.24,debit,Restaurants
6.33,debit,Coffee Shops
2.92,debit,Coffee Shops
8.16,debit,Coffee Shops
1610.08,debit,Credit Card Payment
16.57,debit,Food & Dining
1610.08,credit,Credit Card Payment
20,debit,Web hosting
16.27,debit,Groceries
15.99,debit,Entertainment
17.68,debit,Restaurants
41.26,debit,Restaurants
20,debit,Doctor
2.92,debit,Coffee Shops
2.92,debit,Coffee Shops
17.1,debit,Groceries
17.51,debit,Restaurants
2.92,debit,Coffee Shops
45.35,debit,Restaurants
9.92,debit,Coffee Shops
